profile_id,backend,depth,stage,role,rounds,n,median,q1,q3,iqr,min,max
cpu2,plonk,8,witness_ms,stage,1-5,5,24.051,23.586,27.359,3.773,20.728,27.484
cpu2,plonk,8,prove_ms,stage,1-5,5,12260.3,12086.8,12298.7,211.934,12053.7,13347.1
cpu2,plonk,8,verify_first_ms,stage,1-5,5,10.821,10.424,11.195,0.771,10.031,11.241
cpu2,plonk,8,verify_steady_ms,stage,1-5,5,7.815,7.309,7.867,0.558,7.202,8.602
cpu2,plonk,8,wall_ms,total,1-5,5,12300.8,12122.2,12338.1,215.851,12088.6,13380.3
cpu2,plonk,8,stage_sum_ms,diagnostic,1-5,5,12300.8,12122.2,12338.1,215.855,12088.6,13380.3
cpu2,plonk,9,input_ms,stage,1-5,5,1.995,1.864,2.208,0.344,1.69,2.287
cpu2,plonk,9,witness_ms,stage,1-5,5,23.868,23.096,25.166,2.07,20.543,30.086
cpu2,plonk,9,prove_ms,stage,1-5,5,12164,12144.2,12387.4,243.205,12012.1,13306.1
cpu2,plonk,9,verify_first_ms,stage,1-5,5,10.775,9.959,10.835,0.876,7.681,11.446
